,0,TF
MS00287|TFAP4,0.009997077027891044,TFAP4
UP00147|Nkx2-6,0.010648623052285483,Nkx2-6
MS00202|TBX20,0.010920949099931316,TBX20
MS00201|SNAI2,0.011244605294965742,SNAI2
MC00448|Nr1h2,0.01151373161010704,Nr1h2
MS00586|Otx1,0.011557139423058225,Otx1
M01295|ATF5,0.011684921942523664,ATF5
MS00096|TGIF2,0.012097293885027111,TGIF2
MS00093|Pknox2,0.012585566769000947,Pknox2
UP00249|NKX2-5,0.01298480231681355,NKX2-5
MC00352|Nr5a2,0.014204194304247835,Nr5a2
MS00207|TBX21,0.014802937846584641,TBX21
UP00045|MAFB,0.014841831557316736,MAFB
UP00159|SIX2,0.01636948879717729,SIX2
M00062|IRF1,0.016742865896758052,IRF1
MS00487|HOXA2,0.01674464358119384,HOXA2
MS00169|RFX5,0.01690980801743393,RFX5
MS00668|Nr2e1,0.018089509796319823,Nr2e1
MS00669|Nr2f6,0.018507078697088248,Nr2f6
UP00117|Hoxd11,0.018558309340251912,Hoxd11
M00105|CUX1,0.019127837021845225,CUX1
MS00106|NFAT5,0.020623312645629947,NFAT5
UP00193|Rhox11,0.02077099212043658,Rhox11
MS00580|Nkx3-1,0.02087747497677922,Nkx3-1
MS00070|IRF7,0.021039842898431763,IRF7
MC00368|Hsf1,0.021137679997743228,Hsf1
UP00192|SIX1,0.021580209318120422,SIX1
MC00141|Stat1,0.022187241389677422,Stat1
MS00573|NKX3-2,0.022406955453286175,NKX3-2
MS00222|TEAD3,0.02499885455283114,TEAD3
UP00027|Osr1,0.025198695897956768,Osr1
MS00700|Rarb,0.026975509580965146,Rarb
MS00179|SCRT1,0.02710245454692487,SCRT1
MS00501|Zfp652,0.027469962067756093,Zfp652
MS00474|HMX2,0.028817042993488026,HMX2
UP00177|Hoxd12,0.02981348107263058,Hoxd12
MS00192|TBX15,0.029920303962380875,TBX15
M01364|Obox2,0.03074410996366447,Obox2
MC00396|Nr3c1,0.03128366354640695,Nr3c1
MC00304|FOXH1,0.034942538727789345,FOXH1
M01069|GZF1,0.035113340715303275,GZF1
MS00291|Tcf21,0.03643839893954004,Tcf21
MC00193|RELA,0.03675859500811508,RELA
MS00528|ISL2,0.03864610960964185,ISL2
MS00838|ELF5,0.03944099756703404,ELF5
UP00195|SIX3,0.04136036828959343,SIX3
MS00337|NFIL3,0.042742869767136156,NFIL3
M00992|FOXP3,0.044966380194056625,FOXP3
MS00412|ZNF410,0.045611514226898846,ZNF410
MS00394|Foxj3,0.048003905731811895,Foxj3
M00405|MEF2A,0.04852241231941497,MEF2A
M01334|Nkx1-1,0.04853089164957162,Nkx1-1
MS00160|PROX1,0.05131993545726157,PROX1
UP00199|SIX4,0.05178008031761317,SIX4
MS00807|MSC,0.051950043287010333,MSC
MS00493|HOXB5,0.05335660510836831,HOXB5
UP00114|Homez,0.05485032366765685,Homez
UP00148|Hdx,0.05750608204026363,Hdx
MS00458|En2,0.05991535134657148,En2
UP00401|SOX4,0.06141877567741714,SOX4
MC00364|NFYA,0.06211741270168535,NFYA
MS00525|Hoxd9,0.06503842195465011,Hoxd9
MC00227|IRF4,0.0652365194882851,IRF4
MC00136|Hoxb4,0.06551818684993792,Hoxb4
M00750|HMGA1,0.06752260165750412,HMGA1
MS00419|BSX,0.07205225357250948,BSX
MC00505|POLR2B,0.07323444257101162,POLR2B
M01195|TBX22,0.07436842297995278,TBX22
MC00507|Meis1,0.07821643861961407,Meis1
MS00480|HOXA10,0.07985119950613757,HOXA10
M00526|NR6A1,0.08478496719421515,NR6A1
MS00190|SCRT2,0.08646619603097777,SCRT2
MA0442|SOX10,0.08985970422023143,SOX10
UP00259|HOXB6,0.09002837714117075,HOXB6
MS00526|IRX2,0.09082571246622177,IRX2
UP00223|Irx3,0.09279872925493413,Irx3
MC00452|STAT5B,0.09360693805435485,STAT5B
MS00446|EN1,0.09622762025311898,EN1
M01151|Dmrtc2,0.09637124129971163,Dmrtc2
MA0103|ZEB1,0.09893274253110317,ZEB1
MC00354|Neurod1,0.10873660458039669,Neurod1
MS00756|E2F7,0.11185687245015694,E2F7
MC00347|STAT4,0.11268202014614896,STAT4
UP00155|Hmx2,0.11359491251091523,Hmx2
M01300|HMGA2,0.11367835200771684,HMGA2
MC00135|Rela,0.11687374466434562,Rela
MS00441|EMX1,0.11755726350270607,EMX1
MS00433|DMBX1,0.11868933128529888,DMBX1
MS00473|HMX1,0.12077236906030468,HMX1
MS00272|NEUROG2,0.12411905668625882,NEUROG2
MC00508|Batf,0.1249492756540737,Batf
MS00759|SOX21,0.13041845602544297,SOX21
MS00073|IRF9,0.1328045982682896,IRF9
UP00388|SIX6,0.13592471900044895,SIX6
M01450|Obox1,0.13660587256315493,Obox1
MS00197|TBX1,0.14024916144697175,TBX1
MS00436|DPRX,0.1422938943745438,DPRX
MS00491|HOXB2,0.14509676074588143,HOXB2
MS00653|NR2E1,0.1452743559158866,NR2E1
M01306|ZNF217,0.14671985603035587,ZNF217
M01650|NR2E3,0.1595938294578011,NR2E3
MS00459|GBX1,0.15996244471757573,GBX1
UP00119|Nkx2-9,0.16218557928868738,Nkx2-9
MS00317|HLF,0.17395126009019415,HLF
MC00276|EOMES,0.17784434190706563,EOMES
