,0,TF
M00041|ATF2::JUN,0.07285733148165642,ATF2::JUN
M01241|GTF2IRD1,0.07334724039630663,GTF2IRD1
MS00419|BSX,0.07503258931213108,BSX
MA0386|TBP,0.07553828412655973,TBP
MS00561|MSX2,0.07564604123608695,MSX2
UP00034|Sox7,0.07606544464266389,Sox7
MS00045|GATA5,0.07656438300592248,GATA5
MS00022|Elf5,0.07810422304954498,Elf5
UP00086|IRF3,0.07815562738753147,IRF3
MS00220|TEAD1,0.07836229121257014,TEAD1
MS00072|IRF8,0.07933469250707441,IRF8
MS00459|GBX1,0.07943962718614589,GBX1
MS00224|TEAD4,0.07975662242823449,TEAD4
M01723|SATB1,0.0800979154448326,SATB1
MS00452|ESX1,0.08010679695713768,ESX1
MS00437|DRGX,0.08142725894528116,DRGX
