,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
45791|TBP,0.000000000000000000000000000000000022091713103344801945076054451961515085641197940264324416817729941289635733413972984275243342394507233611577829198703187590675701866996671117224736821628831690336953451365272416003792945890493153522302,Homo sapiens,TBP,tf,HepG2,Epithelium,Liver,1,TBP
45793|SREBF1,0.000000000000000000000000000000000046698566313676171942770664913644532609784494476312493142147222507125205700675904591069475382765382611812319085445881442581936656639901336498160385860585133888342977114394760432037915763540153598765497,Homo sapiens,SREBF1,tf,HepG2,Epithelium,Liver,1,SREBF1
68455|USF2,0.000000000000000000000000000000000054312717357150118683631480317879594437149494357742573346400391772161564712099327084240867572119088941430615731221998831167459568341230714079803338430641279382459074423349054513797814998780189433822696,Homo sapiens,USF2,tf,None,Erythroid Cell,None,0,USF2
7527|HEY1,0.000000000000000000000000000000000075001045578636363842564795704789255978507501891010352596978115151350678584861716646831646646612535534603462934622776796949763725834772820992900817385141513840862525670732862456915267665969203501570251,Homo sapiens,HEY1,tf,K562,Erythroblast,Bone Marrow,1,HEY1
5194|HMGN1,0.00000000000000000000000000000000010292287234229335014218841155515494226458175259487563017025449392800444542569432920699276798399004609281219437501738886147713334830613774844087901391581670674698907109662219648331813547019596119904968,Homo sapiens,HMGN1,both predicted transcription factor and chromatin regulator,None,T Lymphocyte,Blood,1,HMGN1
3273|GATA1,0.00000000000000000000000000000000011921027536074350664859810563251776818754590880059553337106190983325632470029550413095185051585108086732699217970082088537925391753802471528274636240982747031787574553643266763513055264427689165007299,Homo sapiens,GATA1,tf,None,Proerythroblast,Bone Marrow,1,GATA1
47416|ERG,0.00000000000000000000000000000000014464210566628161088230046462539090192030762925836088755861887980931873830365164191168408252788697445290399696796751247575382413948783864372225422783140513228583639892212045208110460865457138367626893,Homo sapiens,ERG,other,Jurkat,T Lymphocyte,Blood,1,ERG
46136|GABPA,0.00000000000000000000000000000000017031953268695654836050393178494923594254299447119282473306419297877557086595419357407326087573954104788183618106553076257167591104216673449850123059126836370413677590516828711686225650033142721836392,Homo sapiens,GABPA,tf,GM12878,B Lymphocyte,Blood,1,GABPA
46329|SIN3A,0.00000000000000000000000000000000017907715956524519695093503313363542759950627503607435747933431953172404058530769878229475148726811933578489033573856170535732020244724962669024696627822091759315498101192704366876619931215227295787574,Homo sapiens,SIN3A,tf,PANC-1,None,Pancreas,1,SIN3A
67715|CREB1,0.0000000000000000000000000000000007935170395540730557285363397501369758384006556453309194250755225645283865565609528839745874043090624181671023959236420318297874470589060138900963400427396015743821165829004128322964165403807511605025,Homo sapiens,CREB1,tf,LNCaP,Epithelium,Prostate,1,CREB1
36031|FAIRE,0.00000000000000000000000000000000088707049553151378003743247223415556490845972374141923115778915187561068671012055607009671318280589054723469184612729979254478358498193268013263259457230754338148989968598381520409794573607159862630538,Homo sapiens,FAIRE,other,None,Epithelium,Cervix,1,FAIRE
45802|CHD2,0.0000000000000000000000000000000014385269949466207607148623005682700766655836693450562085205984600008709015607057641043571918736364666707241667170344306961855668038160011054233323374659734362189687578517375858196858064628208109926861,Homo sapiens,CHD2,cr,HepG2,Epithelium,Liver,1,CHD2
76682|ASXL1,0.0000000000000000000000000000000014441388516059044621268199870520795202041151789887533890180210290578924021083420923057001993618294759390698164554331684267602127302701949775415233837479180462474238551043615417117973785814417488136032,Homo sapiens,ASXL1,tf,HEK293,None,None,1,ASXL1
68456|USF1,0.0000000000000000000000000000000019087035578149579288872291003852816896211837939652902473018554443019821738803156407430273950621840087931893262007401246544582937457815181818292252793390844129899968661136782244895814169801259153939971,Homo sapiens,USF1,tf,None,Erythroid Cell,None,1,USF1
64622|NRF1,0.0000000000000000000000000000000022695868109682077790710333276945685206903550206829234277985916588355451134587259402013193049238572964315040188335101284800202658180628237992483735069706979598973973305894904078182078598935061322710794,Homo sapiens,NRF1,tf,K562,Erythroblast,Bone Marrow,1,NRF1
55344|SUMO2,0.0000000000000000000000000000000023992779346052675044721423747342576814299197502639938407466578752690842476571616444821802797140794582264906871001756538914339111826861749570832251862342602066187816119024077449831340263518417377427083,Homo sapiens,SUMO2,other,K562,Erythroblast,Bone Marrow,1,SUMO2
45776|E2F6,0.0000000000000000000000000000000054093335839293204510180703025217409956889215762193925298498727909097180070845469789815211017981577143833147101235359277417722999289649821802302160587596282273299432016728395622268840401449706367677786,Homo sapiens,E2F6,tf,HeLa-S3,Epithelium,Cervix,1,E2F6
42774|NFYC,0.0000000000000000000000000000000080436668924757736081904411474060680056949836672393407149345307458861262659316681497277133368523213100876453351760280936197178627604920563818693147500731085188270242405870214880756285433662432301304492,Homo sapiens,NFYC,tf,LoVo,None,Colon,1,NFYC
71039|ZNF143,0.000000000000000000000000000000011529649364457300965518443026607493190898942611777396658789721018668631927625012112920623379347150354031180518475561300547847664432136937842652462161393311827698891370665894969793187304827415618202597,Homo sapiens,ZNF143,predicted transcription factor,MCF-7,MCF 7 Cells,None,1,ZNF143
68635|KMT2D,0.000000000000000000000000000000017018934746247312497427207147388979955530853110063462256423511876468800839414416553760009331556151154247172732931813962329383745677515435491072591103492323151193177031374132746403744991402571963451332,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
37621|CBFB,0.000000000000000000000000000000017125221893277350969855068317982768416874346008140457018384402820579515600987647829407977679536192335982884356698971078780067583197779341908819806829501514938460673726741927219936031799243929178567578,Homo sapiens,CBFB,predicted transcription factor,U937,None,Pleura,1,CBFB
45878|GTF2F1,0.000000000000000000000000000000024948425028934107356713911189549239608099259090189324290604748750534175641479573553610764273927851336942830690151659926738425442657529376039938885551366145273647930644211734918561434949132559367197389,Homo sapiens,GTF2F1,tf,K562,Erythroblast,Bone Marrow,1,GTF2F1
4631|KAT5,0.000000000000000000000000000000036194575246822991665058359679032029928338486508260792838174259011155406513770231268900226243949707932805653028303946299571820887635166549213018519354976002916272805597448244790951164948063314390392239,Homo sapiens,KAT5,cr,None,T Lymphocyte,Blood,1,KAT5
46198|REST,0.000000000000000000000000000000037017413757792228652548660482145178677241929621955927926389267021694721461781298697418520258814436127432591757897531748208211185234273381091280234611591469167800405743774818737201769534609185577246404,Homo sapiens,REST,tf,H1,Embryonic Stem Cell,Embryo,1,REST
9319|SMC1A,0.000000000000000000000000000000041324246113971419463847763592249137791057688967157510675232095364143444339486097163644609695959713251507787274248055783410135504705564631351355931725907479308696406097485500422154247116057793831272985,Homo sapiens,SMC1A,predicted chromatin regulator,LCL,Lymphoblastoid,Blood,1,SMC1A
72878|MYF5,0.000000000000000000000000000000043368389685308235646374198630733510198829364283334474249124404129802191593497694330505040237317381947404893474034933911681827628524985379675638479866366071951344609975827275650359725787090336779650178,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
43050|BRD3,0.000000000000000000000000000000055587235753534015922800422902709599663303318413099660607199543092107400838129651695997725611405781199335304052281223032364783212363195658413157820334020576924922977478174727911667811432816314786493189,Homo sapiens,BRD3,predicted chromatin regulator,MM1.S,B Lymphocyte,Blood,1,BRD3
