Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
6318	50057	AR	None	Epithelium	Prostate	0.9999995056360366	0.04542654345630229	0.4224440256166374	0.9999985168915064
6319	33921	AR	LNCaP	Epithelium	Prostate	0.9999995099611165	0.40015947098168736	0.5852487464688021	0.9999985298832365
6320	54082	ESR1	MCF-7	Epithelium	Breast	0.9999995107335934	0.5597652841528027	0.723013883061713	0.9999985322031114
6321	33707	SOX2	BJ	Fibroblast	Skin	0.9999996905127113	8.521855644102147e-07	0.02158965091153453	0.9999985420267241
6322	63169	FOSL2	A549	Epithelium	Lung	0.9999995289899195	0.015969285182477207	0.08787880752195326	0.9999985869207346
6323	68116	KDM1A	Kasumi-1	Myeloblast	Blood	0.99999955704329	2.20394293516594e-05	0.0007719250689103117	0.9999986430793245
6324	44574	AR	VCaP	Epithelium	Prostate	0.9999995492469177	0.008116678351541961	0.3397834024907326	0.9999986476646141
6325	49196	DDX5	NTERA-2	None	Testis	0.9579135195181495	0.9999768121971541	0.9999995404101572	0.9999986480414107
6326	56129	H2AFX	MCF-7	Epithelium	Breast	0.9999995497124974	0.837008227110725	0.7385617073195483	0.9999986491426702
6327	75569	SMC1A	None	None	None	0.99999955218891	0.6286176007735054	0.9691962787567883	0.9999986565870072
6328	69280	AR	VCaP	Epithelium	Prostate	0.9999995541700326	0.07489386359674553	0.46233852221531124	0.9999986625020606
6329	50059	AR	None	Epithelium	Prostate	0.9999995594414729	0.9817322640097071	0.9900960028990631	0.999998678415025
6330	35300	RUNX1T1	Kasumi-1	Myeloblast	Blood	0.9999995697334007	0.006218720327517579	0.029721582953923	0.9999987090922632
6331	47865	REST	Jurkat	T Lymphocyte	Blood	0.3149993151282675	0.9999970177026397	0.9999995082636207	0.9999987336000511
6332	62627	FOSL2	A549	Epithelium	Lung	0.9999995816852323	0.003509768695021554	0.012724374652549181	0.999998744864868
6333	74657	ARID3A	HepG2	Epithelium	Liver	0.9999997948508106	4.162101667699585e-07	1.383999449378723e-05	0.9999987497992693
6334	68102	CRY1	U2OS	None	Bone	0.9999995887343499	0.7882645760896725	0.9038398500453484	0.999998766210197
6335	2912	AR	VCaP	Epithelium	Prostate	0.9999995896081517	0.46640587336352046	0.7229410359217566	0.9999987688256251
6336	68862	NR3C1	ZR-75-1	Embryonic Stem Cell	Breast	0.9999995980168674	0.0035187194450719463	0.13882689123154096	0.9999987939095545
6337	71855	ESR1	MCF-7	None	None	0.9999996194579879	0.0005219494712165551	0.027103325551945737	0.9999988575250086
6338	49627	GATA3	MCF-7	Epithelium	Breast	0.999999623372371	0.9310363351637687	0.9509584739740802	0.999998870131795
6339	35044	ESR1	MCF-7	Epithelium	Breast	0.9999996359522104	0.0010488035390753012	0.10926114957485877	0.9999989074739124
6340	42819	CTCFL	LoVo	None	Colon	0.9999996515350064	8.663560901428915e-06	0.008571367425507737	0.9999989107489871
6341	69287	AR	VCaP	Epithelium	Prostate	0.9999996411791318	0.048698925312357026	0.07231701992734714	0.9999989235242766
6342	54079	ESR1	MCF-7	Epithelium	Breast	0.9999996436191867	0.7503094044685599	0.7460882516581924	0.9999989308599273
6343	36103	ESR1	None	Epithelium	Mammary Gland	0.9999996514375544	0.0533070378752699	0.0875839395666626	0.9999989543018336
6344	70121	ASCL1	NCI-H2107	None	None	0.9999997111888113	1.7403505226884834e-06	0.00024605466458304176	0.9999989597090844
6345	50058	AR	None	Epithelium	Prostate	0.9999996587313185	0.004909416196510568	0.05827753273654453	0.9999989761168591
6346	76820	NEUROG2	None	Fibroblast	Fetal Lung	0.9999997406261675	1.113204595432395e-06	0.00027332525305898603	0.9999989842466577
6347	65074	ZNF382	HEK293	Epithelium	Embryonic Kidney	0.9999996615893509	0.1469402093473144	0.3411921722893333	0.9999989847652949
6348	63081	FOSL2	A549	Epithelium	Lung	0.9999996644018747	0.00015061718296409532	0.006156624405878601	0.9999989909022008
6349	68078	AR	C4-2	None	Prostate	0.9999996857414879	0.0016295571969485066	0.2331918369547456	0.9999990570415819
6350	2171	AR	LNCaP	Epithelium	Prostate	0.9999996873370808	0.01038740374633116	0.16098758446686867	0.9999990619813539
6351	47860	REST	Jurkat	T Lymphocyte	Blood	0.32882037683744464	0.9999996878852031	0.9999904473185308	0.9999990932803341
6352	64242	HES2	A549	Epithelium	Lung	0.9999996978887611	0.09433348459530583	0.2429333106350992	0.9999990936625669
6353	64156	NR3C1	A549	Epithelium	Lung	0.9999996983391242	0.7637620910143925	0.8602192321015115	0.9999990950201336
6354	48306	REST	GM12878	B Lymphocyte	Blood	0.47385760237580576	0.9999996631287401	0.9999972538998207	0.9999990998142694
6355	56055	RAD21	MCF-7	Epithelium	Breast	0.9999997063204753	3.7904566610259046e-05	0.027166672838642252	0.9999991120723053
6356	41735	NR3C1	HEK293	Epithelium	Embryonic Kidney	0.9999997130895351	0.036196492575151604	0.3774169453637152	0.9999991392614975
6357	76154	AR	LNCaP	Epithelium	Prostate	0.9999997142380463	0.30036586505195123	0.9256839291937905	0.9999991427168176
