,0,TF
MS00731|ZNF713,0.2626062043832163,ZNF713
MS00528|ISL2,0.26324529330455176,ISL2
UP00096|SOX13,0.27606981690717536,SOX13
MC00455|Cdx2,0.2786219852742712,Cdx2
UP00391|HOXA3,0.28136602979250336,HOXA3
MS00540|LHX6,0.2818924053581456,LHX6
MC00327|Gata1,0.28500112558509716,Gata1
MS00493|HOXB5,0.2879542813785683,HOXB5
MS00354|FOXC2,0.28848404811388156,FOXC2
MS00397|Foxj3,0.28941263438527526,Foxj3
M01195|TBX22,0.29039720770666844,TBX22
UP00155|Hmx2,0.2930432369696646,Hmx2
MS00419|BSX,0.2944061350659452,BSX
M00416|ALX1,0.2951778773970461,ALX1
MS00084|MEIS3,0.2952212482376111,MEIS3
MS00387|FOXP3,0.2972887806409177,FOXP3
MC00452|STAT5B,0.30280470807802284,STAT5B
MS00450|EN2,0.30520369045682727,EN2
MS00452|ESX1,0.3061226937679833,ESX1
UP00064|Sox18,0.30733789871948347,Sox18
MS00504|HOXC13,0.3135731157153193,HOXC13
MS00444|EMX2,0.31529469934710463,EMX2
